Training Statistics for AE_allbus
==================================================

Episode    0: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    0: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    0: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    0: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    1: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    1: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    1: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    1: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    2: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    2: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    2: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    2: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    3: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    3: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    3: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    3: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    4: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    4: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    4: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    4: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    5: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    5: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    5: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    5: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    6: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    6: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    6: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    6: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    7: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    7: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    7: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    7: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    8: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    8: Loss=  0.0000, Violations=   0, Proj=   0, Fallback=   0
Episode    8: Loss=  0.0001, Violations=   0, Proj=   0, Fallback=   0
Episode    8: Loss=  0.0002, Violations=   0, Proj=   0, Fallback=   0
Episode    9: Loss=  0.0004, Violations=   0, Proj=   0, Fallback=   0
